r, g
0.011833181009187399, 0.004093510991389326
0.16441387272115082, 0.004030977921015477
0.3052575881475781, 0.003973255086824334
0.4226273510029348, 0.00392515272499816
0.5399971138582906, 0.0038770503631728737
0.6573668767136469, 0.003828948001346255
0.7747366395690032, 0.0037808456395205248
0.8921064024243595, 0.0037327432776943503
1.0094761652797157, 0.00368464091586862
1.150319880706143, 0.003626918081677477
1.2911635961325707, 0.003569195247486334
1.4554812641300698, 0.003501851940929779
1.5963249795564967, 0.003444129106738636
1.7606426475539954, 0.0033767858001820805
1.9014863629804226, 0.0033190629659909376
2.0423300784068505, 0.0032613401317997948
2.1831737938332774, 0.003203617297608652
2.300543556688634, 0.0031555149357829215
2.371446438020108, 0.023618259656548624
2.4187791620568575, 0.03999230362210726
2.442637933522537, 0.05637596806003131
2.4899706575592866, 0.0727500120255904
2.51402183847227, 0.09733031891865851
2.538073019385253, 0.12191062581172707
2.562412814469191, 0.15878589638751217
2.562990042811104, 0.18337582375294614
2.5754485545240273, 0.21410842272355524
2.5880032709606047, 0.24893934292173725
2.5889653181971246, 0.28992255519746024
2.6013757275482234, 0.3186059935542831
2.6267737745923334, 0.40056279763336367
2.6401462311799513, 0.4702294482659095
2.6773293568714234, 0.5542306027225932
2.7159555534176736, 0.6997065755928613
2.7305786714127667, 0.8226514021838469
2.7439511280003854, 0.892318052816393
2.7691567655971925, 0.9660782144403286
2.7715618836884905, 1.0685362451296356
2.7738707970561363, 1.16689595459137
2.8106210014911746, 1.2324546635239786
2.8239934580787924, 1.3021213141565249
2.8376064264755403, 1.3820337678580012
2.8513155995959405, 1.4660445427870505
2.852662465727069, 1.5234210399730623
2.8776756938765704, 1.5889845591418537
2.890759536293234, 1.646356246091683
2.915436047909954, 1.697575640963971
2.9282793785174857, 1.7447015248448694
2.929530039924961, 1.797979700803309
2.954543268074463, 1.8635432199721003
2.991101063062197, 1.9209052864495644
3.0037038818606003, 1.9577853672615322
3.0277550627735828, 1.9823656741546007
